Rank	NCT Number	Title	Acronym	Status	Study Results	Conditions	Review	Clinical Domain	Interventions	Outcome Measures	Sponsor/Collaborators	Gender	Age	Phases	Enrollment	Funded Bys	Study Type	Study Designs	Other IDs	Start Date	Primary Completion Date	Completion Date	First Posted	Results First Posted	Last Update Posted	Locations	Study Documents	URL
1	NCT04213183	Association of Eye With Hepatobiliary Disorders :Qualitative Analysis Via Deep Learning		Recruiting	No Results Available	Ophthalmology|Artificial Intelligence|Hepatobiliary Disease			Diagnostic Test: Hepatobiliary Disorders	area under the receiver operating characteristic curve of the deep learning system|sensitivity and specificity of the deep learning system	"Sun Yat-sen University|Third Affiliated Hospital, Sun Yat-Sen University|Huadu District People's Hospital of Guangzhou|iKang Medical International"	All	"Child, Adult, Older Adult"		1527	Other	Observational	Observational Model: Cohort|Time Perspective: Prospective	AEHD-2019	"December 1, 2018"	25-Dec-19	31-Dec-20	30-Dec-19		30-Dec-19	"Zhongshan Ophthalmic Center, Sun Yat-sen Univerisity, Guangzhou, Guangdong, China"		https://ClinicalTrials.gov/show/NCT04213183
2	NCT03706664	Small Bowel Deep Learning Algorithm Project		Recruiting	No Results Available	Crohn Disease			Other: Machine learning algorithm	Machine learning algorithm's ability to accurately localize the terminal ileum.|Data processing time until a diagnosis reported by algorithm.|Machine learning algorithm's ability to accurately distinguish abnormal and normal terminal ileum.	London North West Healthcare NHS Trust|Imperial College London	All	"16 Years and older   (Child, Adult, Older Adult)"	Not Applicable	226	Other	Interventional	Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic	IRAS No:238924	"March 1, 2019"	20-Jan	20-Sep	16-Oct-18		21-Aug-19	"St Mark's Hospital, London, Harrow, United Kingdom"		https://ClinicalTrials.gov/show/NCT03706664
3	NCT03268031	Artificial Intelligence-assissted Glaucoma Evaluation	AGE	Recruiting	No Results Available	Artificial Intelligence|Glaucoma			Diagnostic Test: Visual field and OCT tests	Accuracy of diagnosis by artificial intelligence algorithm|Sensitivity of diagnosis by artificial intelligence algorithm|Specificity of diagnosis by artificial intelligence algorithm	Sun Yat-sen University|Chinese Academy of Sciences	All	"Child, Adult, Older Adult"		5000	Other	Observational	Observational Model: Case-Only|Time Perspective: Retrospective	ProjectAGE	"August 15, 2017"	1-Jun-20	1-Jan-21	31-Aug-17		25-Sep-19	"Zhongshan Ophthalmic Center, Guangzhou, Guangdong, China"		https://ClinicalTrials.gov/show/NCT03268031
4	NCT04131530	Automatic Evaluation of Inflammation Activity in Ulcerative Colitis Using pCLE With Artificial Intelligence		Recruiting	No Results Available	Ulcerative Colitis|Artificial Intelligence|Confocal Laser Endomicroscopy			Diagnostic Test: The diagnosis of Artificial Intelligence and endoscopist	The diagnosis efficiency of Artificial Intelligence|Contrast the diagnosis efficiency of Artificial Intelligence with endoscopists	Shandong University	All	"18 Years to 80 Years   (Adult, Older Adult)"		60	Other	Observational	Observational Model: Cohort|Time Perspective: Prospective	2019SDU-QILU-10	"October 1, 2019"	19-Dec	19-Dec	18-Oct-19		18-Oct-19	"Department of Gastroenterology, Qilu Hospital, Shandong University, Jinan, Shandong, China"		https://ClinicalTrials.gov/show/NCT04131530
5	NCT03784209	Automatic Real-time Diagnosis of Gastric Mucosal Disease Using pCLE With Artificial Intelligence		Recruiting	No Results Available	Gastric Diseases|Artificial Intelligence|Confocal Laser Endomicroscopy			Diagnostic Test: The diagnosis of Artificial Intelligence and endoscopist	The diagnosis efficiency of Artificial Intelligence|Contrast the diagnosis efficiency of Artificial Intelligence with endoscopists	Shandong University	All	"18 Years to 80 Years   (Adult, Older Adult)"		500	Other	Observational	Observational Model: Cohort|Time Perspective: Prospective	2018SDU-QILU-12	"July 1, 2018"	1-Nov-19	1-Nov-19	21-Dec-18		18-Oct-19	"Endoscopic unit of Qilu Hospital Shandong University, Jinan, Shandong, China"		https://ClinicalTrials.gov/show/NCT03784209
6	NCT03877614	Artificial Intelligence With Deep Learning and Genes on Cardiovascular Disease		Recruiting	No Results Available	Cardiovascular Diseases		Cardiovascular	Other: ASCVD risk score	Major cardiovascular events|Heart function changes|Lipid profiles|Arrhythmia events|Recurrent acute coronary events	National Cheng-Kung University Hospital	All	"18 Years and older   (Adult, Older Adult)"		5000	Other	Observational	Observational Model: Cohort|Time Perspective: Prospective	A-ER-107-149	"August 28, 2018"	21-Dec	22-Jun	15-Mar-19		15-Mar-19	"Department of Internal Medicine, National Cheng Kung University Hospital, Tainan, Taiwan"		https://ClinicalTrials.gov/show/NCT03877614
7	NCT03976297	Artificial Intelligence/Machine Learning Modeling on Time to Palliative Care Review in an Inpatient Hospital Population		Recruiting	No Results Available	Palliative Care			Other: Control Tower	Timely identification for need of palliative care|The number of inpatient palliative care consults|Timely identification for need of palliative care per unit|Transition time to hospice-designated bed|Time to hospice designation|Emergency Department visit within 30 days of discharge|Hospitalization or readmission within 30 days of discharge|ICU transfers|Ratio of inpatient hospice death to non-hospice hospital deaths|Rate of discharge to external hospice|Inpatient length of stay	Mayo Clinic	All	"18 Years and older   (Adult, Older Adult)"	Not Applicable	20000	Other	Interventional	Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Health Services Research	19-002315	"August 19, 2019"	19-Aug-20	20-Oct	6-Jun-19		28-Aug-19	"Mayo Clinic, Rochester, Minnesota, United States"		https://ClinicalTrials.gov/show/NCT03976297
8	NCT04138771	Validation of an Artificial Intelligence System for Postoperative Management of Cataract Patients		Recruiting	No Results Available	Cataract|Postoperative Complications|Artificial Intelligence			Device: An artificial intelligence system for postoperative management of cataract patients	"The proportion of accurate, mistaken and miss detection of this artificial intelligence diagnostic system."	"Sun Yat-sen University|Ministry of Health, China|Xidian University"	All	"Child, Adult, Older Adult"	Not Applicable	300	Other	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic	CCPMOH2019-China-5	"January 1, 2013"	1-Mar-20	1-Mar-20	24-Oct-19		3-Dec-19	"Zhongshan Ophthalmic Center, Sun Yat-sen University, Guangzhou, Guangdong, China"		https://ClinicalTrials.gov/show/NCT04138771
9	NCT04222439	Deep Learning Algorithm for the Diagnosis of Gastrointestinal Diseases		Recruiting	No Results Available	Gastrointestinal Disease			Device: AI for the Diagnosis of Gastrointestinal Diseases	The diagnostic accuracy of gastrointestinal diseases with deep learning algorithm.|The diagnostic sensitivity of gastrointestinal diseases with deep learning algorithm.|The diagnostic specificity of gastrointestinal diseases with deep learning algorithm.|The diagnostic positive predictive value of gastrointestinal diseases with deep learning algorithm.|The diagnostic negative predictive value of gastrointestinal diseases with deep learning algorithm.	Shandong University	All	"18 Years and older   (Adult, Older Adult)"	Not Applicable	100000	Other	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic	2019-SDU-QILU-G710	"January 1, 2020"	20-Feb	20-Feb	10-Jan-20		18-Feb-20	"Qilu Hospital, Shandong University, Jinan, Shandong, China"		https://ClinicalTrials.gov/show/NCT04222439
10	NCT03574454	Machine Learning in Myeloma Response	MALIMAR	Recruiting	No Results Available	Myeloma			Other: Machine Learning (ML)	Sensitivity of Machine Learning Algorithm to detect Myeloma|Level of Agreement in Assessment of Disease Burden|Level of Agreement to Classify Disease Spread|Quantification of Improvements to Correctly Identify Disease by Site and Reading Time|Difference in Reading Time with and without Machine Learning|Specificity for Identification of Active Disease with and without Machine Learning|Sensitivity to detect Active Disease in non-Experienced Readers with and without Machine Learning|Agreement in Categorisation of Active Disease|Difference in Reading Time for scoring Disease Burden with and without Machine Learning|Agreement in Categorisation of Disease Responders and non-Responders with Reference Standard|Agreement in Categorisation of Disease Responders and non-Responders in non-Experienced Readers|Agreement in Assessment of Disease Burden in non-Experienced Readers|Difference in Costs of Radiology Reading Time with and without Machine Learning	"Royal Marsden NHS Foundation Trust|Institute of Cancer Research, United Kingdom|Imperial College London"	All	"40 Years to 100 Years   (Adult, Older Adult)"	Not Applicable	50	Other	Interventional	Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Diagnostic	CCR 4820|233501|16/68/34	"July 4, 2018"	21-May	21-Aug	2-Jul-18		17-Jul-18	"Department of Radiology, The Royal Marsden NHS Foundation Trust, Sutton, Surrey, United Kingdom|Institute of Cancer Research, London, London, United Kingdom|Imperial College, London, London, United Kingdom"		https://ClinicalTrials.gov/show/NCT03574454
